# Training inputs, Training outputs, Predictions
0.766452,1.172691,1.597778
0.772409,2.231143,1.568109
0.793342,1.713272,1.466249
0.804960,1.262359,1.411448
0.833828,1.343920,1.281401
0.833828,1.478855,1.281401
0.837799,0.742582,1.264253
0.841789,1.412881,1.247221
0.847207,0.976154,1.224403
0.847207,1.018762,1.224403
0.858315,0.883831,1.178779
0.863232,1.636573,1.159095
0.873794,1.357009,1.117887
0.875396,1.310220,1.111767
0.884673,1.306874,1.076999
0.886582,1.504520,1.069993
0.899641,0.907726,1.023362
0.921600,0.803099,0.950147
0.925990,0.805875,0.936285
0.927158,0.826672,0.932639
0.927961,0.881930,0.930142
0.927961,1.026871,0.930142
0.930401,0.888462,0.922609
0.931249,0.971747,0.920012
0.948657,0.903435,0.868706
0.954055,0.837296,0.853580
0.965737,1.064575,0.822080
0.978000,0.704860,0.790782
0.994322,0.765760,0.751819
