# Chi2_train, Chi2_test
44846.539062,29942.847656
3.227425,6.076674
2.985574,5.781490
2.732244,5.409702
2.575622,5.189560
2.513578,5.049612
2.279458,4.490077
1.997793,3.765374
1.676684,2.882693
1.340315,1.951244
