# best iteration: (array([37]),)
251827.734375,117498.468750
39.904194,34.997425
39.125546,34.940140
38.288193,34.766998
35.591209,33.479710
26.475784,26.822508
23.860935,25.716898
22.356701,25.301056
21.321541,24.920263
19.430176,23.178221
16.815777,20.395029
15.326815,19.448650
12.962822,18.312794
4.369117,20.005745
3.183735,19.566490
3.003351,19.052212
2.900445,18.791121
2.897197,18.112200
19.028547,37.484093
2.763698,17.838734
2.750423,17.527056
2.712034,16.880480
2.506070,10.977738
2.311730,7.112841
2.451090,7.193657
2.275940,7.036920
2.294935,7.021504
2.289085,7.038344
2.248038,7.086358
2.246286,7.158138
2.210052,6.997687
2.137576,7.017239
2.131079,6.988485
2.122708,6.973491
2.103519,6.954073
2.415405,7.250445
2.293267,6.940361
2.087949,6.905271
2.581259,7.224203
2.601991,7.459878
2.727194,7.867187
2.046411,6.952787
2.860342,8.335816
4.220868,10.718607
1.992741,12.665177
2.346078,16.569967
1.848958,15.272985
1.906755,15.205667
2.331030,15.711631
2.847741,16.557917
