# best iteration: (array([27]),)
138438.437500,47391.207031
38.302765,33.817665
37.320023,33.513527
36.184120,33.242928
33.261906,32.292171
23.910387,25.652630
21.311640,25.089464
20.694969,25.222525
20.003471,25.304451
28.035988,35.803562
15.235568,22.955112
9.188027,23.348570
3.376709,10.584480
2.727689,7.963968
4.481081,10.664559
2.478512,7.076195
2.368463,6.973750
2.429654,7.041490
2.650022,7.191782
2.237306,6.869965
2.183901,6.828718
2.148570,6.792926
2.124238,6.790867
2.374107,7.170437
2.061473,6.652606
3.017186,8.116584
2.083320,6.651393
2.056117,6.638571
2.177795,6.826709
2.085977,6.785456
2.270992,6.886512
2.219887,7.196939
1.976665,6.889185
2.024904,6.994411
1.975678,6.968376
1.945848,6.992233
2.422468,7.676851
