# best iteration: (array([49]),)
1858.347046,22100.798828
38.481213,34.597237
37.184437,34.303680
29.261347,29.742022
26.975952,27.313665
25.400545,26.163607
21.940889,23.581167
51.488178,38.626556
16.914640,20.386499
4.679657,9.307528
5.472648,9.372866
3.454517,8.190584
2.783869,7.756948
2.442358,7.562949
2.392642,7.506587
2.339552,7.448656
2.336622,7.532812
2.265971,7.361012
2.286301,7.490985
9.843689,16.161455
2.190306,7.248753
2.351021,7.646812
2.673329,7.521222
2.132919,7.297024
2.333050,7.773122
2.078171,7.133405
2.051379,7.161192
2.024019,7.092383
3.650906,7.697325
2.004461,7.218296
2.080760,7.103540
2.001559,7.093894
2.300586,7.548132
2.035948,7.035757
2.057680,7.031227
2.447833,7.906129
2.712054,7.020444
1.922770,6.987543
2.503216,8.062612
1.896953,6.860665
2.451442,6.966846
1.872241,6.566010
7.251449,13.777884
1.849771,6.127215
2.365860,6.249236
6.129747,8.815949
1.797529,4.397453
2.005085,3.809263
1.767710,3.442493
1.767164,3.327747
